 v-sweep         v(vgs)          id              gm              gds             vth             gm_id           gm_gds          id_w           
 0.00000000e+00  0.00000000e+00  1.82964754e-12  2.46646880e-11  2.13459600e-13  6.10968829e-01  1.34805679e+01  1.15547335e+02  1.82964754e-07 
 5.00000000e-03  5.00000000e-03  1.96109795e-12  2.82081620e-11  2.44109202e-13  6.10968829e-01  1.43838618e+01  1.15555504e+02  1.96109795e-07 
 1.00000000e-02  1.00000000e-02  2.11031193e-12  3.22606106e-11  2.79158983e-13  6.10968829e-01  1.52871290e+01  1.15563577e+02  2.11031193e-07 
 1.50000000e-02  1.50000000e-02  2.28794761e-12  3.68951189e-11  3.19240508e-13  6.10968829e-01  1.61258583e+01  1.15571546e+02  2.28794761e-07 
 2.00000000e-02  2.00000000e-02  2.47979415e-12  4.21952612e-11  3.65075956e-13  6.10968829e-01  1.70156306e+01  1.15579403e+02  2.47979415e-07 
 2.50000000e-02  2.50000000e-02  2.71072054e-12  4.82566059e-11  4.17491122e-13  6.10968829e-01  1.78021324e+01  1.15587143e+02  2.71072054e-07 
 3.00000000e-02  3.00000000e-02  2.96651592e-12  5.51884346e-11  4.77430266e-13  6.10968829e-01  1.86037884e+01  1.15594755e+02  2.96651592e-07 
 3.50000000e-02  3.50000000e-02  3.26139116e-12  6.31157091e-11  5.45973105e-13  6.10968829e-01  1.93523886e+01  1.15602231e+02  3.26139116e-07 
 4.00000000e-02  4.00000000e-02  3.59889896e-12  7.21813184e-11  6.24354223e-13  6.10968829e-01  2.00565004e+01  1.15609562e+02  3.59889896e-07 
 4.50000000e-02  4.50000000e-02  3.98614475e-12  8.25486485e-11  7.13985278e-13  6.10968829e-01  2.07088939e+01  1.15616738e+02  3.98614475e-07 
 5.00000000e-02  5.00000000e-02  4.43023396e-12  9.44045195e-11  8.16480371e-13  6.10968829e-01  2.13091499e+01  1.15623747e+02  4.43023396e-07 
 5.50000000e-02  5.50000000e-02  4.93116659e-12  1.07962543e-10  9.33685058e-13  6.10968829e-01  2.18939151e+01  1.15630578e+02  4.93116659e-07 
 6.00000000e-02  6.00000000e-02  5.51025892e-12  1.23466958e-10  1.06770951e-12  6.10968829e-01  2.24067435e+01  1.15637218e+02  5.51025892e-07 
 6.50000000e-02  6.50000000e-02  6.17461637e-12  1.41197021e-10  1.22096643e-12  6.10968829e-01  2.28673350e+01  1.15643655e+02  6.17461637e-07 
 7.00000000e-02  7.00000000e-02  6.92068625e-12  1.61472015e-10  1.39621436e-12  6.10968829e-01  2.33317924e+01  1.15649874e+02  6.92068625e-07 
 7.50000000e-02  7.50000000e-02  7.79465381e-12  1.84656979e-10  1.59660720e-12  6.10968829e-01  2.36902092e+01  1.15655860e+02  7.79465381e-07 
 8.00000000e-02  8.00000000e-02  8.77875550e-12  2.11169259e-10  1.82575084e-12  6.10968829e-01  2.40545780e+01  1.15661598e+02  8.77875550e-07 
 8.50000000e-02  8.50000000e-02  9.91207116e-12  2.41485986e-10  2.08776784e-12  6.10968829e-01  2.43628180e+01  1.15667068e+02  9.91207116e-07 
 9.00000000e-02  9.00000000e-02  1.12017062e-11  2.76152624e-10  2.38737133e-12  6.10968829e-01  2.46527287e+01  1.15672255e+02  1.12017062e-06 
 9.50000000e-02  9.50000000e-02  1.26760824e-11  3.15792746e-10  2.72994955e-12  6.10968829e-01  2.49124876e+01  1.15677137e+02  1.26760824e-06 
 1.00000000e-01  1.00000000e-01  1.43636214e-11  3.61119187e-10  3.12166236e-12  6.10968829e-01  2.51412354e+01  1.15681693e+02  1.43636214e-06 
 1.05000000e-01  1.05000000e-01  1.62962976e-11  4.12946765e-10  3.56955158e-12  6.10968829e-01  2.53399130e+01  1.15685894e+02  1.62962976e-06 
 1.10000000e-01  1.10000000e-01  1.85096383e-11  4.72206864e-10  4.08166701e-12  6.10968829e-01  2.55114042e+01  1.15689708e+02  1.85096383e-06 
 1.15000000e-01  1.15000000e-01  2.10356177e-11  5.39964165e-10  4.66721048e-12  6.10968829e-01  2.56690425e+01  1.15693125e+02  2.10356177e-06 
 1.20000000e-01  1.20000000e-01  2.39275266e-11  6.17435526e-10  5.33670048e-12  6.10968829e-01  2.58044024e+01  1.15696118e+02  2.39275266e-06 
 1.25000000e-01  1.25000000e-01  2.72315503e-11  7.06011724e-10  6.10216007e-12  6.10968829e-01  2.59262405e+01  1.15698657e+02  2.72315503e-06 
 1.30000000e-01  1.30000000e-01  3.10080850e-11  8.07282238e-10  6.97733164e-12  6.10968829e-01  2.60345725e+01  1.15700712e+02  3.10080850e-06 
 1.35000000e-01  1.35000000e-01  3.53317375e-11  9.23063544e-10  7.97792219e-12  6.10968829e-01  2.61256199e+01  1.15702250e+02  3.53317375e-06 
 1.40000000e-01  1.40000000e-01  4.02664568e-11  1.05543142e-09  9.12188344e-12  6.10968829e-01  2.62111818e+01  1.15703235e+02  4.02664568e-06 
 1.45000000e-01  1.45000000e-01  4.59117189e-11  1.20675783e-09  1.04297318e-11  6.10968829e-01  2.62843095e+01  1.15703630e+02  4.59117189e-06 
 1.50000000e-01  1.50000000e-01  5.23634469e-11  1.37975300e-09  1.19249137e-11  6.10968829e-01  2.63495450e+01  1.15703395e+02  5.23634469e-06 
 1.55000000e-01  1.55000000e-01  5.97530914e-11  1.57751347e-09  1.36342226e-11  6.10968829e-01  2.64005332e+01  1.15702488e+02  5.97530914e-06 
 1.60000000e-01  1.60000000e-01  6.81943391e-11  1.80357692e-09  1.55882755e-11  6.10968829e-01  2.64476046e+01  1.15700863e+02  6.81943391e-06 
 1.65000000e-01  1.65000000e-01  7.78435094e-11  2.06198464e-09  1.78220561e-11  6.10968829e-01  2.64888448e+01  1.15698471e+02  7.78435094e-06 
 1.70000000e-01  1.70000000e-01  8.88746854e-11  2.35735296e-09  2.03755358e-11  6.10968829e-01  2.65244591e+01  1.15695262e+02  8.88746854e-06 
 1.75000000e-01  1.75000000e-01  1.01483266e-10  2.69495452e-09  2.32943816e-11  6.10968829e-01  2.65556541e+01  1.15691181e+02  1.01483266e-05 
 1.80000000e-01  1.80000000e-01  1.15907284e-10  3.08081108e-09  2.66307640e-11  6.10968829e-01  2.65799610e+01  1.15686170e+02  1.15907284e-05 
 1.85000000e-01  1.85000000e-01  1.32388323e-10  3.52179925e-09  3.04442789e-11  6.10968829e-01  2.66020385e+01  1.15680166e+02  1.32388323e-05 
 1.90000000e-01  1.90000000e-01  1.51224810e-10  4.02577104e-09  3.48029997e-11  6.10968829e-01  2.66211016e+01  1.15673105e+02  1.51224810e-05 
